get_params.prdctvId,get_params.url,timestamp,referer,ip,accept_language,user_agent
f046f19a-4a43-4c5e-99de-57e76e8e9930,https://www.vivelafete.com/newborn.html?cat=10,2015-10-25T20:43:53.804Z,https://www.vivelafete.com/newborn.html?cat=10,65.190.81.66,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12D508 Safari/600.1.4"
68b704b6-a6a1-41c5-bd00-bb0770172345,https://www.vivelafete.com/,2015-10-25T20:44:00.994Z,https://www.vivelafete.com/,73.239.52.70,"en-US,en;q=0.8","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 Safari/537.36"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?apparel_collection=168&size_range=40,2015-10-25T20:44:06.636Z,https://www.vivelafete.com/boys.html?apparel_collection=168&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?apparel_collection=168&p=2&size_range=40,2015-10-25T20:44:17.371Z,https://www.vivelafete.com/boys.html?apparel_collection=168&p=2&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys/smocked-snowman-boys-pull-on-pant-set.html,2015-10-25T20:44:29.841Z,https://www.vivelafete.com/boys/smocked-snowman-boys-pull-on-pant-set.html,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?apparel_collection=168&p=2&size_range=40,2015-10-25T20:44:35.828Z,https://www.vivelafete.com/boys.html?apparel_collection=168&p=2&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys/smocked-snowman-boys-overall.html,2015-10-25T20:44:50.367Z,https://www.vivelafete.com/boys/smocked-snowman-boys-overall.html,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys.html?apparel_collection=168&p=2&size_range=40,2015-10-25T20:45:02.372Z,https://www.vivelafete.com/boys.html?apparel_collection=168&p=2&size_range=40,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
6f631535-c9a8-4b48-a049-e72e226b847c,https://www.vivelafete.com/boys/smocked-baby-reindeer-boys-overall.html,2015-10-25T20:45:12.410Z,https://www.vivelafete.com/boys/smocked-baby-reindeer-boys-overall.html,70.215.196.94,en-us,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
4a9d8b6c-327b-42b1-b6c9-4cfa5fd3f253,https://www.vivelafete.com/,2015-10-25T20:46:44.537Z,https://www.vivelafete.com/,179.5.22.39,"es-419,es;q=0.8","Mozilla/5.0 (Linux; Android 4.1.2; GT-I8262B Build/JZO54K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36"
